cell_type,ground_truth_spike_count,sorted_spike_count,apparent_sorting_loss
CA1_pyr,117747,89485,0.24002310037623042
CA2_pyr,126218,78993,0.37415424107496553
CA3_pyr,103355,71802,0.3052876009868899
DG_granule,101066,60134,0.40500267152158
