time,event_type,decoded_spatial_context,spatial_context_confidence,decoded_movement_state,movement_state_confidence,true_spatial_context,true_movement_state,correct_trigger
420.1500000000004,context_wall,corner,0.8209006995078069,still,1.0,wall,still,True
420.17500000000035,context_wall,corner,0.8147107070372437,still,1.0,wall,still,True
420.2000000000004,context_wall,corner,0.8429871631323865,still,1.0,wall,still,True
420.22500000000036,context_wall,corner,0.8895960704829098,still,1.0,wall,still,True
420.2500000000004,context_wall,corner,0.8716438504717037,still,1.0,wall,still,True
420.2750000000004,context_wall,corner,0.8335620841979434,still,1.0,wall,still,True
420.30000000000035,context_wall,corner,0.8612849954617954,still,1.0,wall,still,True
420.3250000000004,context_wall,corner,0.8252184484250149,still,1.0,wall,still,True
420.35000000000036,context_wall,corner,0.8319449061352526,still,1.0,wall,still,True
420.3750000000004,context_wall,corner,0.854763570725074,still,1.0,wall,still,True
420.4000000000004,context_wall,corner,0.8031093178677431,still,1.0,wall,still,True
420.42500000000035,context_wall,corner,0.8481536100027062,still,1.0,wall,still,True
420.4500000000004,context_wall,corner,0.843486203111803,still,1.0,wall,still,True
420.47500000000036,context_wall,corner,0.9199046701526248,still,1.0,wall,still,True
420.5000000000004,context_wall,corner,0.9057913973703795,still,1.0,wall,still,True
420.5250000000004,context_wall,corner,0.9129175114852509,still,1.0,wall,still,True
420.55000000000035,context_wall,corner,0.8601162921755858,still,1.0,wall,still,True
420.5750000000004,context_wall,corner,0.8245208745979007,still,1.0,wall,still,True
420.60000000000036,context_wall,corner,0.9087570014031776,still,1.0,wall,still,True
420.6250000000004,context_wall,corner,0.9076141981599075,still,1.0,wall,still,True
420.6500000000004,context_wall,corner,0.8890178534079777,still,1.0,wall,still,True
420.67500000000035,context_wall,corner,0.8871787843811694,still,1.0,wall,still,True
420.7000000000004,context_wall,corner,0.8862018144443563,still,1.0,wall,still,True
420.72500000000036,context_wall,corner,0.8725361897454821,still,1.0,wall,still,True
420.7500000000004,context_wall,corner,0.8124690690668054,still,1.0,wall,still,True
420.9500000000004,context_wall,corner,0.861241009076172,still,1.0,wall,still,True
420.97500000000036,context_wall,corner,0.8729507336839681,still,1.0,wall,still,True
421.0000000000004,context_wall,corner,0.8532083555732161,still,1.0,wall,still,True
421.0250000000004,context_wall,corner,0.8393530473192691,still,1.0,wall,still,True
421.05000000000035,context_wall,corner,0.8101531508802645,still,1.0,wall,still,True
421.10000000000036,context_wall,corner,0.8039820882990751,still,1.0,wall,still,True
421.1250000000004,context_wall,corner,0.8475483250047341,still,1.0,wall,still,True
421.1500000000004,context_wall,corner,0.8761070205148827,still,1.0,wall,still,True
421.2000000000004,context_wall,corner,0.8156011883373593,still,1.0,wall,still,True
421.22500000000036,context_wall,corner,0.8361936996989582,still,1.0,wall,still,True
421.2500000000004,context_wall,corner,0.8294973576068133,still,1.0,wall,still,True
421.3250000000004,context_wall,corner,0.8024211577632908,still,1.0,wall,still,True
421.3750000000004,context_wall,corner,0.830362598091101,still,1.0,wall,still,True
421.4000000000004,context_wall,corner,0.8301018324938693,still,1.0,wall,still,True
421.47500000000036,context_wall,corner,0.8518914003608085,still,1.0,wall,still,True
421.5000000000004,context_wall,corner,0.8143211438606538,still,1.0,wall,still,True
421.9000000000004,context_wall,corner,0.800563501773032,still,1.0,wall,still,True
421.92500000000035,context_wall,corner,0.8291034450963243,still,1.0,wall,still,True
421.9500000000004,context_wall,corner,0.8696776282000778,still,1.0,wall,still,True
422.0000000000004,context_wall,corner,0.824585370549344,still,1.0,wall,still,True
422.0250000000004,context_wall,corner,0.8247175606237974,still,1.0,wall,still,True
422.05000000000035,context_wall,corner,0.8351921751439414,still,1.0,wall,still,True
422.0750000000004,context_wall,corner,0.832477405430108,still,1.0,wall,still,True
422.2500000000004,context_wall,corner,0.8393105344579415,still,1.0,wall,still,True
422.2750000000004,context_wall,corner,0.8329646333645262,still,1.0,wall,still,True
422.30000000000035,context_wall,corner,0.8722451087750526,still,1.0,wall,still,True
422.3250000000004,context_wall,corner,0.8051385620719335,still,1.0,wall,still,True
422.35000000000036,context_wall,corner,0.8476786797040323,still,1.0,wall,still,True
422.3750000000004,context_wall,corner,0.844203502459798,still,1.0,wall,still,True
422.4000000000004,context_wall,corner,0.8106837494407286,still,1.0,wall,still,True
422.42500000000035,context_wall,corner,0.8779562986263093,still,1.0,wall,still,True
422.4500000000004,context_wall,corner,0.8187159432131809,still,1.0,wall,still,True
422.47500000000036,context_wall,corner,0.8634980596257074,still,1.0,wall,still,True
422.5000000000004,context_wall,corner,0.8577299031328909,still,1.0,wall,still,True
422.5250000000004,context_wall,corner,0.8340281183010363,still,1.0,wall,still,True
422.55000000000035,context_wall,corner,0.8432696478124311,still,1.0,wall,still,True
422.5750000000004,context_wall,corner,0.8093055695907917,still,1.0,wall,still,True
422.60000000000036,context_wall,corner,0.8878626630504374,still,1.0,wall,still,True
