cell_type,n_units,total_ground_truth_spikes,total_sorted_spikes,mean_rate_hz,median_rate_hz,std_rate_hz
CA1_pyr,80,104647,86352,2.1801458333333334,2.1058333333333334,0.6247098450953624
CA2_pyr,40,125869,74312,5.244541666666667,5.2325,0.4222580373080245
CA3_pyr,40,111806,68635,4.6585833333333335,4.592499999999999,0.8603489775944778
DG_granule,40,99381,64813,4.140874999999999,4.190833333333334,0.7013591797888398
