unit_id,cell_type,region,layer,channel,depth_um,place_x_cm,place_y_cm,hd_pref_rad,rate_model,ratinabox_class
0,CA1_pyr,CA1,pyramidal,15,280.0,9.327021656744778,5.641825637905231,0.0,ratinabox_PlaceCells,PlaceCells
1,CA1_pyr,CA1,pyramidal,16,300.0,16.49052821552168,2.5047898522918675,0.0,ratinabox_PlaceCells,PlaceCells
2,CA1_pyr,CA1,pyramidal,23,440.0,26.35951010534759,3.2267526919674676,0.0,ratinabox_PlaceCells,PlaceCells
3,CA1_pyr,CA1,pyramidal,29,560.0,46.38133311363515,7.407632879300445,0.0,ratinabox_PlaceCells,PlaceCells
4,CA1_pyr,CA1,pyramidal,2,20.0,55.9982767702606,3.954914685299362,0.0,ratinabox_PlaceCells,PlaceCells
5,CA1_pyr,CA1,pyramidal,5,80.0,65.94526710394838,8.854746939196676,0.0,ratinabox_PlaceCells,PlaceCells
6,CA1_pyr,CA1,pyramidal,25,480.0,83.8774714037965,3.5223108055855654,0.0,ratinabox_PlaceCells,PlaceCells
7,CA1_pyr,CA1,pyramidal,29,560.0,96.73817669439498,10.550839616374745,0.0,ratinabox_PlaceCells,PlaceCells
8,CA1_pyr,CA1,pyramidal,8,140.0,0.7819180584720018,21.050345436227197,0.0,ratinabox_PlaceCells,PlaceCells
9,CA1_pyr,CA1,pyramidal,10,180.0,14.1214058863223,18.98149057983082,0.0,ratinabox_PlaceCells,PlaceCells
10,CA1_pyr,CA1,pyramidal,27,520.0,33.15310048039816,23.277982593489295,0.0,ratinabox_PlaceCells,PlaceCells
11,CA1_pyr,CA1,pyramidal,13,240.0,43.747227537985296,16.396306438035378,0.0,ratinabox_PlaceCells,PlaceCells
12,CA1_pyr,CA1,pyramidal,9,160.0,55.16754871968965,17.118883497403264,0.0,ratinabox_PlaceCells,PlaceCells
13,CA1_pyr,CA1,pyramidal,25,480.0,66.6238609293339,13.868893817779163,0.0,ratinabox_PlaceCells,PlaceCells
14,CA1_pyr,CA1,pyramidal,8,140.0,84.49730728066952,14.58161751691231,0.0,ratinabox_PlaceCells,PlaceCells
15,CA1_pyr,CA1,pyramidal,13,240.0,89.68950934127562,18.054744960011693,0.0,ratinabox_PlaceCells,PlaceCells
16,CA1_pyr,CA1,pyramidal,20,380.0,5.699572748478275,33.163004590881414,0.0,ratinabox_PlaceCells,PlaceCells
17,CA1_pyr,CA1,pyramidal,17,320.0,23.306516513218693,28.611155572596182,0.0,ratinabox_PlaceCells,PlaceCells
18,CA1_pyr,CA1,pyramidal,3,40.0,33.44006898138304,31.75830209557259,0.0,ratinabox_PlaceCells,PlaceCells
19,CA1_pyr,CA1,pyramidal,1,0.0,47.2616827580504,26.18367021915636,0.0,ratinabox_PlaceCells,PlaceCells
20,CA1_pyr,CA1,pyramidal,26,500.0,61.32769636544578,32.09783870456682,0.0,ratinabox_PlaceCells,PlaceCells
21,CA1_pyr,CA1,pyramidal,23,440.0,65.89179791091718,26.906814848622375,0.0,ratinabox_PlaceCells,PlaceCells
22,CA1_pyr,CA1,pyramidal,26,500.0,84.9061651282037,34.914702586772286,0.0,ratinabox_PlaceCells,PlaceCells
23,CA1_pyr,CA1,pyramidal,17,320.0,91.57585464496343,27.300206086816203,0.0,ratinabox_PlaceCells,PlaceCells
24,CA1_pyr,CA1,pyramidal,25,480.0,4.609009306027327,41.83828117754608,0.0,ratinabox_PlaceCells,PlaceCells
25,CA1_pyr,CA1,pyramidal,10,180.0,13.521380945876318,39.705612853868544,0.0,ratinabox_PlaceCells,PlaceCells
26,CA1_pyr,CA1,pyramidal,14,260.0,29.87341170709194,41.447605016052755,0.0,ratinabox_PlaceCells,PlaceCells
27,CA1_pyr,CA1,pyramidal,24,460.0,41.2165288338195,41.13405015841212,0.0,ratinabox_PlaceCells,PlaceCells
28,CA1_pyr,CA1,pyramidal,4,60.0,51.804833450475584,43.694088701257634,0.0,ratinabox_PlaceCells,PlaceCells
29,CA1_pyr,CA1,pyramidal,10,180.0,68.66490381821836,47.909896062560506,0.0,ratinabox_PlaceCells,PlaceCells
30,CA1_pyr,CA1,pyramidal,4,60.0,84.81649373139545,44.42270609696545,0.0,ratinabox_PlaceCells,PlaceCells
31,CA1_pyr,CA1,pyramidal,14,260.0,94.3793375503054,44.49499872329234,0.0,ratinabox_PlaceCells,PlaceCells
32,CA1_pyr,CA1,pyramidal,30,580.0,10.02655845740352,60.412469021286455,0.0,ratinabox_PlaceCells,PlaceCells
33,CA1_pyr,CA1,pyramidal,5,80.0,17.271040859580346,61.33987277544539,0.0,ratinabox_PlaceCells,PlaceCells
34,CA1_pyr,CA1,pyramidal,12,220.0,33.7373188685748,54.865989544243256,0.0,ratinabox_PlaceCells,PlaceCells
35,CA1_pyr,CA1,pyramidal,13,240.0,43.06111354758477,56.56450883496975,0.0,ratinabox_PlaceCells,PlaceCells
36,CA1_pyr,CA1,pyramidal,28,540.0,56.879480210272185,55.33183548408379,0.0,ratinabox_PlaceCells,PlaceCells
37,CA1_pyr,CA1,pyramidal,7,120.0,66.40385787925803,58.51108186382417,0.0,ratinabox_PlaceCells,PlaceCells
38,CA1_pyr,CA1,pyramidal,16,300.0,79.4652935662812,57.330751426568014,0.0,ratinabox_PlaceCells,PlaceCells
39,CA1_pyr,CA1,pyramidal,8,140.0,92.08036057979577,51.35488339577514,0.0,ratinabox_PlaceCells,PlaceCells
40,CA1_pyr,CA1,pyramidal,1,0.0,7.1125998891742395,67.66090693227001,0.0,ratinabox_PlaceCells,PlaceCells
41,CA1_pyr,CA1,pyramidal,23,440.0,20.850758975940582,72.85453779215007,0.0,ratinabox_PlaceCells,PlaceCells
42,CA1_pyr,CA1,pyramidal,2,20.0,27.195349882284237,65.61046943343423,0.0,ratinabox_PlaceCells,PlaceCells
43,CA1_pyr,CA1,pyramidal,9,160.0,40.967463445687194,71.3940194625665,0.0,ratinabox_PlaceCells,PlaceCells
44,CA1_pyr,CA1,pyramidal,15,280.0,51.80408436964701,69.61236020578752,0.0,ratinabox_PlaceCells,PlaceCells
45,CA1_pyr,CA1,pyramidal,15,280.0,74.00959643502378,66.07496820368685,0.0,ratinabox_PlaceCells,PlaceCells
