cell_type,n_units,total_ground_truth_spikes,total_sorted_spikes,mean_rate_hz,median_rate_hz,std_rate_hz
CA1_pyr,150,752537,469181,8.361522222222222,8.484166666666667,0.9838803873335757
CA2_pyr,60,198143,137244,5.503972222222222,5.49,0.7691329828805137
CA3_pyr,210,1075839,680521,8.538404761904761,8.533333333333333,0.7042485618533305
DG_granule,230,58683,164061,0.4252391304347826,0.43833333333333335,0.20706857036688814
