cell_type,ground_truth_spike_count,sorted_spike_count,apparent_sorting_loss
CA1_pyr,752537,469181,0.37653430994090653
CA2_pyr,198143,137244,0.3073487329857729
CA3_pyr,1075839,680521,0.367450891815597
DG_granule,58683,164061,-1.7957159654414396
