target_name,target_family,primary_metric,best_decoder_name,best_decode_window_s,recommended_realtime_window_s,recommended_realtime_decoder_name,best_feature_type,best_manifold_type,best_manifold_grouping,best_manifold_n_components,best_metric_value,spike_source,source,model_path,best_window_model_path,realtime_model_path,manifold_transform_path,decoder_config_json,realtime_decoder_config_json
position,continuous,mean_position_error_cm,random_forest_regressor,1.0,1.0,random_forest_regressor,region_pca,pca,region,3.0,7.017803866990642,sorted,sorted,,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/region_pca/k3/w1.000s/position.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/region_pca/k3/w1.000s/position.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w1000ms,"{""decoder_name"": ""random_forest_regressor"", ""decode_window_s"": 1.0, ""feature_type"": ""region_pca"", ""target_name"": ""position"", ""target_family"": ""continuous"", ""manifold_type"": ""pca"", ""manifold_grouping"": ""region"", ""manifold_n_components"": 3, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w1000ms"", ""model_params"": {""n_estimators"": 100, ""max_depth"": 12, ""random_state"": 42, ""n_jobs"": -1}, ""bayesian_params"": {}}","{""decoder_name"": ""random_forest_regressor"", ""decode_window_s"": 1.0, ""feature_type"": ""region_pca"", ""target_name"": ""position"", ""target_family"": ""continuous"", ""manifold_type"": ""pca"", ""manifold_grouping"": ""region"", ""manifold_n_components"": 3, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w1000ms"", ""model_params"": {""n_estimators"": 100, ""max_depth"": 12, ""random_state"": 42, ""n_jobs"": -1}, ""bayesian_params"": {}}"
speed,continuous,r2,ridge,0.25,0.25,ridge,region_pca,pca,region,3.0,0.572568464791637,sorted,sorted,,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/region_pca/k3/w0.250s/speed.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/region_pca/k3/w0.250s/speed.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w0250ms,"{""decoder_name"": ""ridge"", ""decode_window_s"": 0.25, ""feature_type"": ""region_pca"", ""target_name"": ""speed"", ""target_family"": ""continuous"", ""manifold_type"": ""pca"", ""manifold_grouping"": ""region"", ""manifold_n_components"": 3, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w0250ms"", ""model_params"": {""alpha"": 1.0}, ""bayesian_params"": {}}","{""decoder_name"": ""ridge"", ""decode_window_s"": 0.25, ""feature_type"": ""region_pca"", ""target_name"": ""speed"", ""target_family"": ""continuous"", ""manifold_type"": ""pca"", ""manifold_grouping"": ""region"", ""manifold_n_components"": 3, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w0250ms"", ""model_params"": {""alpha"": 1.0}, ""bayesian_params"": {}}"
acceleration,continuous,r2,ridge,0.1,0.1,ridge,region_pca,pca,region,3.0,0.0240916967909929,sorted,sorted,,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/region_pca/k3/w0.100s/acceleration.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/region_pca/k3/w0.100s/acceleration.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w0100ms,"{""decoder_name"": ""ridge"", ""decode_window_s"": 0.1, ""feature_type"": ""region_pca"", ""target_name"": ""acceleration"", ""target_family"": ""continuous"", ""manifold_type"": ""pca"", ""manifold_grouping"": ""region"", ""manifold_n_components"": 3, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w0100ms"", ""model_params"": {""alpha"": 1.0}, ""bayesian_params"": {}}","{""decoder_name"": ""ridge"", ""decode_window_s"": 0.1, ""feature_type"": ""region_pca"", ""target_name"": ""acceleration"", ""target_family"": ""continuous"", ""manifold_type"": ""pca"", ""manifold_grouping"": ""region"", ""manifold_n_components"": 3, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w0100ms"", ""model_params"": {""alpha"": 1.0}, ""bayesian_params"": {}}"
head_direction,continuous,mean_circular_error_deg,pca_ridge,0.25,0.25,pca_ridge,region_pca,pca,region,3.0,16.414955703171874,sorted,sorted,,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/region_pca/k3/w0.250s/head_direction.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/region_pca/k3/w0.250s/head_direction.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w0250ms,"{""decoder_name"": ""pca_ridge"", ""decode_window_s"": 0.25, ""feature_type"": ""region_pca"", ""target_name"": ""head_direction"", ""target_family"": ""continuous"", ""manifold_type"": ""pca"", ""manifold_grouping"": ""region"", ""manifold_n_components"": 3, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w0250ms"", ""model_params"": {""pca_n_components"": 0.95, ""ridge_alpha"": 1.0}, ""bayesian_params"": {}}","{""decoder_name"": ""pca_ridge"", ""decode_window_s"": 0.25, ""feature_type"": ""region_pca"", ""target_name"": ""head_direction"", ""target_family"": ""continuous"", ""manifold_type"": ""pca"", ""manifold_grouping"": ""region"", ""manifold_n_components"": 3, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w0250ms"", ""model_params"": {""pca_n_components"": 0.95, ""ridge_alpha"": 1.0}, ""bayesian_params"": {}}"
distance_to_wall,continuous,r2,random_forest_regressor,1.0,0.5,random_forest_regressor,counts,none,,,0.7816675010680233,sorted,sorted,,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/counts/kna/w1.000s/distance_to_wall.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/counts/kna/w0.500s/distance_to_wall.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/counts_w1000ms,"{""decoder_name"": ""random_forest_regressor"", ""decode_window_s"": 1.0, ""feature_type"": ""counts"", ""target_name"": ""distance_to_wall"", ""target_family"": ""continuous"", ""manifold_type"": ""none"", ""manifold_grouping"": NaN, ""manifold_n_components"": null, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/counts_w1000ms"", ""model_params"": {""n_estimators"": 100, ""max_depth"": 12, ""random_state"": 42, ""n_jobs"": -1}, ""bayesian_params"": {}}","{""decoder_name"": ""random_forest_regressor"", ""decode_window_s"": 0.5, ""feature_type"": ""counts"", ""target_name"": ""distance_to_wall"", ""target_family"": ""continuous"", ""manifold_type"": ""none"", ""manifold_grouping"": NaN, ""manifold_n_components"": null, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/counts_w0500ms"", ""model_params"": {""n_estimators"": 100, ""max_depth"": 12, ""random_state"": 42, ""n_jobs"": -1}, ""bayesian_params"": {}}"
spatial_context,categorical,balanced_accuracy,random_forest_classifier,1.0,0.5,random_forest_classifier,region_pca,pca,region,3.0,0.8658002042570322,sorted,sorted,,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/region_pca/k3/w1.000s/spatial_context.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/region_pca/k3/w0.500s/spatial_context.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w1000ms,"{""decoder_name"": ""random_forest_classifier"", ""decode_window_s"": 1.0, ""feature_type"": ""region_pca"", ""target_name"": ""spatial_context"", ""target_family"": ""categorical"", ""manifold_type"": ""pca"", ""manifold_grouping"": ""region"", ""manifold_n_components"": 3, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w1000ms"", ""model_params"": {""n_estimators"": 100, ""max_depth"": 12, ""class_weight"": ""balanced"", ""random_state"": 42, ""n_jobs"": -1}, ""bayesian_params"": {}}","{""decoder_name"": ""random_forest_classifier"", ""decode_window_s"": 0.5, ""feature_type"": ""region_pca"", ""target_name"": ""spatial_context"", ""target_family"": ""categorical"", ""manifold_type"": ""pca"", ""manifold_grouping"": ""region"", ""manifold_n_components"": 3, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w0500ms"", ""model_params"": {""n_estimators"": 100, ""max_depth"": 12, ""class_weight"": ""balanced"", ""random_state"": 42, ""n_jobs"": -1}, ""bayesian_params"": {}}"
movement_state,categorical,balanced_accuracy,logistic_regression,0.25,0.1,logistic_regression,region_pca,pca,region,3.0,0.705361339946352,sorted,sorted,,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/region_pca/k3/w0.250s/movement_state.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/region_pca/k3/w0.100s/movement_state.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w0250ms,"{""decoder_name"": ""logistic_regression"", ""decode_window_s"": 0.25, ""feature_type"": ""region_pca"", ""target_name"": ""movement_state"", ""target_family"": ""categorical"", ""manifold_type"": ""pca"", ""manifold_grouping"": ""region"", ""manifold_n_components"": 3, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w0250ms"", ""model_params"": {""max_iter"": 1000, ""class_weight"": ""balanced"", ""random_state"": 42}, ""bayesian_params"": {}}","{""decoder_name"": ""logistic_regression"", ""decode_window_s"": 0.1, ""feature_type"": ""region_pca"", ""target_name"": ""movement_state"", ""target_family"": ""categorical"", ""manifold_type"": ""pca"", ""manifold_grouping"": ""region"", ""manifold_n_components"": 3, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w0100ms"", ""model_params"": {""max_iter"": 1000, ""class_weight"": ""balanced"", ""random_state"": 42}, ""bayesian_params"": {}}"
wall_distance_bin,categorical,balanced_accuracy,random_forest_classifier,1.0,0.5,random_forest_classifier,region_pca,pca,region,3.0,0.8436337953238366,sorted,sorted,,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/region_pca/k3/w1.000s/wall_distance_bin.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/by_window/region_pca/k3/w0.500s/wall_distance_bin.joblib,outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w1000ms,"{""decoder_name"": ""random_forest_classifier"", ""decode_window_s"": 1.0, ""feature_type"": ""region_pca"", ""target_name"": ""wall_distance_bin"", ""target_family"": ""categorical"", ""manifold_type"": ""pca"", ""manifold_grouping"": ""region"", ""manifold_n_components"": 3, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w1000ms"", ""model_params"": {""n_estimators"": 100, ""max_depth"": 12, ""class_weight"": ""balanced"", ""random_state"": 42, ""n_jobs"": -1}, ""bayesian_params"": {}}","{""decoder_name"": ""random_forest_classifier"", ""decode_window_s"": 0.5, ""feature_type"": ""region_pca"", ""target_name"": ""wall_distance_bin"", ""target_family"": ""categorical"", ""manifold_type"": ""pca"", ""manifold_grouping"": ""region"", ""manifold_n_components"": 3, ""manifold_transform_path"": ""outputs/ratinabox_003/decoder_comparison/sorted/models/manifold_transforms/region_pca_k3_w0500ms"", ""model_params"": {""n_estimators"": 100, ""max_depth"": 12, ""class_weight"": ""balanced"", ""random_state"": 42, ""n_jobs"": -1}, ""bayesian_params"": {}}"
