target_name,target_family,primary_metric,best_decoder_name,best_decode_window_s,recommended_realtime_window_s,best_feature_type,best_metric_value,spike_source,source,model_path,decoder_config_json
position,continuous,mean_position_error_cm,bayesian_place_decoder,0.25,0.25,counts,12.092394800195827,sorted,sorted,outputs/ratinabox_002/decoder_comparison_quick/models/best_position_decoder.joblib,"{""decoder_name"": ""bayesian_place_decoder"", ""decode_window_s"": 0.25, ""feature_type"": ""counts"", ""target_name"": ""position"", ""target_family"": ""continuous"", ""model_params"": {""n_bins"": 20, ""smooth_alpha"": 0.7, ""smooth"": false}, ""bayesian_params"": {""n_bins"": 20, ""smooth"": false, ""smooth_alpha"": 0.7}}"
speed,continuous,r2,pca_ridge,0.25,0.25,counts,0.5026761621294709,sorted,sorted,outputs/ratinabox_002/decoder_comparison_quick/models/best_speed_decoder.joblib,"{""decoder_name"": ""pca_ridge"", ""decode_window_s"": 0.25, ""feature_type"": ""counts"", ""target_name"": ""speed"", ""target_family"": ""continuous"", ""model_params"": {""pca_n_components"": 0.95, ""ridge_alpha"": 1.0}, ""bayesian_params"": {}}"
acceleration,continuous,r2,random_forest_regressor,0.25,0.25,counts,0.0037874687620607084,sorted,sorted,outputs/ratinabox_002/decoder_comparison_quick/models/best_acceleration_decoder.joblib,"{""decoder_name"": ""random_forest_regressor"", ""decode_window_s"": 0.25, ""feature_type"": ""counts"", ""target_name"": ""acceleration"", ""target_family"": ""continuous"", ""model_params"": {""n_estimators"": 100, ""max_depth"": 12, ""random_state"": 42, ""n_jobs"": -1}, ""bayesian_params"": {}}"
head_direction,continuous,mean_circular_error_deg,pca_ridge,0.25,0.25,counts,15.407987546242788,sorted,sorted,outputs/ratinabox_002/decoder_comparison_quick/models/best_head_direction_decoder.joblib,"{""decoder_name"": ""pca_ridge"", ""decode_window_s"": 0.25, ""feature_type"": ""counts"", ""target_name"": ""head_direction"", ""target_family"": ""continuous"", ""model_params"": {""pca_n_components"": 0.95, ""ridge_alpha"": 1.0}, ""bayesian_params"": {}}"
distance_to_wall,continuous,r2,random_forest_regressor,0.25,0.25,counts,0.806069402921842,sorted,sorted,outputs/ratinabox_002/decoder_comparison_quick/models/best_distance_to_wall_decoder.joblib,"{""decoder_name"": ""random_forest_regressor"", ""decode_window_s"": 0.25, ""feature_type"": ""counts"", ""target_name"": ""distance_to_wall"", ""target_family"": ""continuous"", ""model_params"": {""n_estimators"": 100, ""max_depth"": 12, ""random_state"": 42, ""n_jobs"": -1}, ""bayesian_params"": {}}"
spatial_context,categorical,balanced_accuracy,random_forest_classifier,0.25,0.25,counts,0.8171161603244105,sorted,sorted,outputs/ratinabox_002/decoder_comparison_quick/models/best_spatial_context_decoder.joblib,"{""decoder_name"": ""random_forest_classifier"", ""decode_window_s"": 0.25, ""feature_type"": ""counts"", ""target_name"": ""spatial_context"", ""target_family"": ""categorical"", ""model_params"": {""n_estimators"": 100, ""max_depth"": 12, ""class_weight"": ""balanced"", ""random_state"": 42, ""n_jobs"": -1}, ""bayesian_params"": {}}"
movement_state,categorical,balanced_accuracy,random_forest_classifier,0.05,0.05,counts,0.5511790095722923,sorted,sorted,outputs/ratinabox_002/decoder_comparison_quick/models/best_movement_state_decoder.joblib,"{""decoder_name"": ""random_forest_classifier"", ""decode_window_s"": 0.05, ""feature_type"": ""counts"", ""target_name"": ""movement_state"", ""target_family"": ""categorical"", ""model_params"": {""n_estimators"": 100, ""max_depth"": 12, ""class_weight"": ""balanced"", ""random_state"": 42, ""n_jobs"": -1}, ""bayesian_params"": {}}"
wall_distance_bin,categorical,balanced_accuracy,random_forest_classifier,0.25,0.25,counts,0.7992151889240042,sorted,sorted,outputs/ratinabox_002/decoder_comparison_quick/models/best_wall_distance_bin_decoder.joblib,"{""decoder_name"": ""random_forest_classifier"", ""decode_window_s"": 0.25, ""feature_type"": ""counts"", ""target_name"": ""wall_distance_bin"", ""target_family"": ""categorical"", ""model_params"": {""n_estimators"": 100, ""max_depth"": 12, ""class_weight"": ""balanced"", ""random_state"": 42, ""n_jobs"": -1}, ""bayesian_params"": {}}"
