time_s,x_cm,y_cm,speed_cm_s,head_direction_rad,distance_to_wall_cm,acceleration_cm_s2
0.0,49.668129269284414,49.814197291277196,7.606860810463972,-2.631207333261065,49.668129269284414,152.13721620927942
0.05,49.43581799133575,49.71440275333143,5.05677682584273,-2.7358554357301594,49.43581799133575,-51.00167969242482
0.1,49.25172410743214,49.64182572942662,3.957675200902462,-2.766062334793649,49.25172410743214,-21.98203249880537
0.15000000000000002,49.103380992024434,49.56388662194018,3.351428612675181,-2.6578340619446754,49.103380992024434,-12.124931764545614
0.2,48.958181819660204,49.46224191620766,3.544824162562084,-2.530842260884618,48.958181819660204,3.8679109977380577
0.25,48.790890870647395,49.348968615193535,4.040648578841893,-2.546399255312992,48.790890870647395,9.916488325596173
0.30000000000000004,48.622899062273675,49.19604609815678,4.54341474653282,-2.4031173879099037,48.622899062273675,10.055323353818544
0.35000000000000003,48.46165393504235,49.02739140433472,4.666664624935405,-2.3337382153878323,48.46165393504235,2.4649975680516967
0.4,48.31931320983017,48.938967547993315,3.351397345837441,-2.585721476933092,48.31931320983017,-26.305345581959276
0.45,48.24075668290331,48.90304714795382,1.7275882682870256,-2.7127214999478557,48.24075668290331,-32.4761815510083
0.5,48.18274490230799,48.88781654919783,1.1995562223265028,-2.884843904558082,48.18274490230799,-10.560640919210455
0.55,48.11010188710391,48.86472369374291,1.5245048548301194,-2.8338002927089576,48.11010188710391,6.498972650072332
0.6000000000000001,48.048139492505776,48.85915836506322,1.2442365092936192,-3.0520151749233055,48.048139492505776,-5.605366910730005
0.65,48.00239366740922,48.85987667984642,0.9150292869394664,3.125891641443621,48.00239366740922,-6.584144447083055
0.7000000000000001,47.935008813963364,48.85638210030045,1.3495081415274948,-3.089779055017429,47.935008813963364,8.689577091760567
0.75,47.77019797349518,48.83134942810285,3.334021464429036,-2.990857456928197,47.77019797349518,39.69026645803082
0.8,47.3548369535853,48.81364517164404,8.314763197044899,-3.0989946589190236,47.3548369535853,99.61483465231726
0.8500000000000001,46.97481177526399,48.765382089004326,7.661552357167166,-3.0152692132583874,46.97481177526399,-13.064216797554646
