time,event_type,closed_loop_target,decoded_spatial_context,spatial_context_confidence,decoded_movement_state,movement_state_confidence,true_spatial_context,true_movement_state,correct_trigger
422.6500000000004,context_wall,spatial_context,corner,0.8407160676633041,slow,0.5220575099548052,corner,slow,True
422.67500000000035,context_wall,spatial_context,corner,0.9064351416494592,slow,0.5705703917644782,corner,slow,True
422.7000000000004,context_wall,spatial_context,corner,0.903978316822516,slow,0.5986034302369385,corner,slow,True
422.72500000000036,context_wall,spatial_context,corner,0.9201513459296525,slow,0.5459428468193083,corner,slow,True
422.7500000000004,context_wall,spatial_context,corner,0.896786392219262,slow,0.5437268257029657,corner,slow,True
422.7750000000004,context_wall,spatial_context,corner,0.8818587643794591,slow,0.5710256842459388,corner,slow,True
422.80000000000035,context_wall,spatial_context,corner,0.8088797428640057,slow,0.56872553987323,corner,slow,True
422.97500000000036,context_wall,spatial_context,corner,0.8084218649400282,slow,0.4888317062437138,corner,slow,True
423.1500000000004,context_wall,spatial_context,corner,0.8212949149893999,slow,0.5267617008805411,corner,slow,True
423.17500000000035,context_wall,spatial_context,corner,0.856107004121018,slow,0.5493820329281118,corner,slow,True
423.2000000000004,context_wall,spatial_context,corner,0.8739749368596292,slow,0.5119286845788011,corner,slow,True
423.22500000000036,context_wall,spatial_context,corner,0.8309051653570532,slow,0.5089359616554604,corner,fast,True
423.2500000000004,context_wall,spatial_context,corner,0.8669719790469091,slow,0.6661530168281913,corner,fast,True
423.2750000000004,context_wall,spatial_context,corner,0.8658849160720054,slow,0.6207726124227813,corner,slow,True
423.30000000000035,context_wall,spatial_context,corner,0.8366793288686641,slow,0.5058857227511246,corner,slow,True
423.5750000000004,context_wall,spatial_context,corner,0.8483353570584972,fast,0.5079487829379147,corner,fast,True
423.6500000000004,context_wall,spatial_context,corner,0.8036916065276114,fast,0.5080768752510917,corner,slow,True
423.67500000000035,context_wall,spatial_context,corner,0.8406616543368459,fast,0.5185380937809184,corner,slow,True
423.7000000000004,context_wall,spatial_context,corner,0.8606075478298729,fast,0.46417755732131627,corner,slow,True
423.72500000000036,context_wall,spatial_context,corner,0.8124432905375321,fast,0.5100849712561452,corner,slow,True
423.85000000000036,context_wall,spatial_context,corner,0.8249551733653607,slow,0.5161312599687767,corner,still,True
423.8750000000004,context_wall,spatial_context,corner,0.8433748337102535,slow,0.5244997845812759,corner,still,True
423.9000000000004,context_wall,spatial_context,corner,0.8189526307133386,slow,0.49622063017216256,corner,still,True
423.92500000000035,context_wall,spatial_context,corner,0.8053567219410229,slow,0.5481588175012796,corner,still,True
423.97500000000036,context_wall,spatial_context,corner,0.8159704078618643,slow,0.581177916381308,corner,slow,True
424.0000000000004,context_wall,spatial_context,corner,0.8539714794388877,slow,0.537009136487892,corner,slow,True
424.0250000000004,context_wall,spatial_context,corner,0.8371097290510182,slow,0.5314481715449545,corner,still,True
424.05000000000035,context_wall,spatial_context,corner,0.8273034786274122,slow,0.5660375873939872,corner,still,True
424.0750000000004,context_wall,spatial_context,corner,0.830214922653079,slow,0.5453457410232069,corner,still,True
424.10000000000036,context_wall,spatial_context,corner,0.837658957139816,slow,0.5661436286042282,corner,still,True
424.1250000000004,context_wall,spatial_context,corner,0.8711130196436052,slow,0.586971202816639,corner,still,True
424.1500000000004,context_wall,spatial_context,corner,0.8794345203988547,slow,0.5794964721480568,corner,still,True
424.17500000000035,context_wall,spatial_context,corner,0.827821105383277,slow,0.5451910012818246,corner,still,True
424.22500000000036,context_wall,spatial_context,corner,0.8106039055200114,slow,0.5585453691305851,corner,slow,True
424.2500000000004,context_wall,spatial_context,corner,0.8252987948544575,slow,0.5608110230932563,corner,slow,True
424.30000000000035,context_wall,spatial_context,corner,0.8558878753124446,slow,0.4561870119541386,corner,slow,True
424.3250000000004,context_wall,spatial_context,corner,0.8654917517448806,slow,0.5506960505086707,corner,slow,True
424.35000000000036,context_wall,spatial_context,corner,0.8182742227203399,slow,0.5517696362919122,corner,slow,True
424.42500000000035,context_wall,spatial_context,corner,0.8371797851182657,slow,0.5055346181194386,corner,slow,True
424.4500000000004,context_wall,spatial_context,corner,0.8047158376661998,slow,0.5469078864054232,corner,slow,True
424.5000000000004,context_wall,spatial_context,corner,0.8040627708895859,slow,0.5317597011814869,corner,slow,True
425.0750000000004,context_wall,spatial_context,corner,0.8005303949013067,slow,0.5428828542419522,corner,slow,True
425.10000000000036,context_wall,spatial_context,corner,0.8163689597314787,slow,0.5730407906654374,corner,slow,True
425.1250000000004,context_wall,spatial_context,corner,0.8561406057508436,slow,0.5404809961865109,corner,slow,True
425.1500000000004,context_wall,spatial_context,corner,0.9002246431699231,slow,0.5543276160827826,corner,slow,True
425.17500000000035,context_wall,spatial_context,corner,0.8833323118515978,slow,0.565482732807277,corner,slow,True
425.2000000000004,context_wall,spatial_context,corner,0.8796476142085932,slow,0.6013510354800656,corner,slow,True
425.22500000000036,context_wall,spatial_context,corner,0.869647614208593,slow,0.6007685504445114,corner,slow,True
425.2500000000004,context_wall,spatial_context,corner,0.8540312562747056,slow,0.6195108521803193,corner,slow,True
425.2750000000004,context_wall,spatial_context,corner,0.8172628063117446,slow,0.5567537155192559,corner,slow,True
425.30000000000035,context_wall,spatial_context,corner,0.8768616592532347,slow,0.521836770174555,corner,slow,True
425.3250000000004,context_wall,spatial_context,corner,0.8693757360249063,slow,0.5255693699241699,corner,slow,True
425.35000000000036,context_wall,spatial_context,corner,0.9103920173680742,slow,0.48408599882374,corner,slow,True
425.3750000000004,context_wall,spatial_context,corner,0.8938588814602417,slow,0.5070572539687869,corner,slow,True
425.4000000000004,context_wall,spatial_context,corner,0.8922540118525625,fast,0.5690289487219371,corner,slow,True
425.42500000000035,context_wall,spatial_context,corner,0.8417140029571432,fast,0.5266155824802083,corner,slow,True
425.4500000000004,context_wall,spatial_context,corner,0.8355401759668062,slow,0.4899135542325817,corner,slow,True
425.47500000000036,context_wall,spatial_context,corner,0.8229784328429183,fast,0.5261515024778339,corner,slow,True
425.5250000000004,context_wall,spatial_context,corner,0.847835884109918,slow,0.5115415601785688,corner,slow,True
425.55000000000035,context_wall,spatial_context,corner,0.8289120121872655,fast,0.5038646111796866,corner,slow,True
425.60000000000036,context_wall,spatial_context,corner,0.829961844168318,fast,0.4909413086573731,corner,slow,True
426.5000000000004,context_wall,spatial_context,corner,0.8218758796061744,fast,0.6120568658968496,corner,fast,True
426.5250000000004,context_wall,spatial_context,corner,0.8432411509524833,fast,0.6155206210570396,corner,fast,True
426.55000000000035,context_wall,spatial_context,corner,0.834890360910709,fast,0.7408926197422528,corner,fast,True
