time_s,x_cm,y_cm,speed_cm_s,head_direction_rad
0.0,50.120488886950746,50.420283451312834,8.744272441456808,1.291599608596608
0.05,50.22427509458816,50.649347512786534,5.029589293554109,1.1453772778234637
0.1,50.24201983339722,50.80856274221256,3.2040202893605594,1.459803111996465
0.15000000000000002,50.23003358624233,51.01278144821436,4.091403182376789,1.6294222577822555
0.2,50.21640617038866,51.112541810402334,2.013736460088427,1.706557561902987
0.25,50.19416567736156,51.19945653069519,1.7943029993481312,1.8213095516295055
0.30000000000000004,50.191369983816834,51.21071272924367,0.23196371109189673,1.8142395745515167
0.35000000000000003,50.189582245645944,51.21838330882126,0.15752307618105252,1.7997730916322088
0.4,50.18788238433671,51.22612661593695,0.15855388176721763,1.7868949709308795
0.45,50.187833186622974,51.22905629062241,0.058601754846296004,1.7868949709308795
0.5,50.18735679171663,51.23210782647541,0.061769970597155104,1.7868949709308795
0.55,50.18638245326268,51.23611210117215,0.08242220882685226,1.7868949709308795
0.6000000000000001,50.18300552627719,51.242810141844906,0.15002317783500088,2.037771489869703
0.65,50.177005453363186,51.249448777749386,0.1789663226929216,2.3057130308742897
0.7000000000000001,50.171097475564586,51.256934632345065,0.19072726149822025,2.2389287578869026
0.75,50.16191532281993,51.26999016646497,0.3192233701861551,2.1837436481810735
0.8,50.1470908279687,51.309957113324856,0.8525543944862819,1.9259842301002132
0.8500000000000001,50.141331220622256,51.33442978784621,0.5028259639334034,1.8019385270114474
0.9,50.134565672994,51.36507664112455,0.6276949101512106,1.7880698215947792
0.9500000000000001,50.127752010473195,51.43045441509684,1.3146374901878215,1.6746412903716439
1.0,50.11916917532332,51.513665207572345,1.6730452526589916,1.6735785505176746
1.05,50.083194634850884,51.65220006333655,2.8625914010778657,1.824863333513141
1.1,50.02098014014042,51.796788015567884,3.14809906340485,1.9771376161453897
1.1500000000000001,49.99181296270535,51.8988922710622,2.1237705365294945,1.8490464828662707
1.2000000000000002,49.96764084772641,52.012791820049046,2.328724835781188,1.7799167650512926
1.25,49.9513386188496,52.086973934153015,1.5190455844755446,1.7871172818183099
1.3,49.93742431395312,52.230196757946466,2.877942677408534,1.6676438438277958
1.35,49.97232377097022,52.386792284485615,3.2087462369070705,1.3515161821416986
1.4000000000000001,50.06292002878562,52.588727796018006,4.426539630366137,1.1490743245365014
1.4500000000000002,50.215745517605484,52.78160440763493,4.921667089182444,0.9007383944138834
1.5,50.403485131547285,52.96168505851702,5.2028916369701355,0.7645786024404488
1.55,50.60539419491733,53.18085023372431,5.959887377949811,0.8263564070709388
1.6,50.894362773733945,53.5618789674203,9.564219475634577,0.9219468776888111
1.6500000000000001,51.143519441927275,53.91361555477234,8.620850820824252,0.9544806116719738
1.7000000000000002,51.43379733470192,54.294214786698284,9.573234153123114,0.919225182462523
1.75,51.90392863227736,54.630051811939055,11.555257582287691,0.6202902675840865
1.8,52.404803027958636,55.01900759288447,12.683245007172829,0.6602799167419556
1.85,52.89802681352984,55.294642347888335,11.300340186370105,0.5096072486430246
1.9000000000000001,53.46164804241852,55.60508417470834,12.869234903339317,0.5034561913185588
1.9500000000000002,53.87029138880802,55.8300647596336,9.32964411200608,0.5032691158472207
2.0,54.2870362491664,56.00273226627569,9.021980857552776,0.392793565902728
2.0500000000000003,54.86309731503537,56.290856823454135,12.881958112948023,0.4637781758601624
2.1,55.379947249616755,56.57432531978136,11.789626682584998,0.5016556103597741
2.15,55.919542648830415,56.94486875923373,13.091457296630281,0.6017480363925476
2.2,56.35108261662993,57.3133005088154,11.348457126997083,0.7066731420295104
2.25,56.77147560890692,57.632796402961795,10.560452534470384,0.6498662577009444
2.3000000000000003,57.206824375671204,57.9409139033093,10.667051002851407,0.6159074892854788
2.35,57.76422320586375,58.23055288412413,12.563187415739314,0.47922493095898056
2.4000000000000004,58.30880065897187,58.47466357304841,11.935738450231115,0.421403552100101
2.45,58.962324721786906,58.697940013360785,13.812256433716254,0.32921671067486563
2.5,59.86924177037326,58.993511935734425,19.07732994223497,0.3150533343109571
2.5500000000000003,60.59672072909643,59.20789351146922,15.168191657537616,0.2865791570784477
2.6,61.29365357814935,59.39083129301914,14.410851855562663,0.2566988112868141
2.6500000000000004,61.99867093815098,59.568155546805016,14.53950988010782,0.24640645429176553
2.7,62.744603151542556,59.63870537643672,14.985221325510174,0.09429890269425466
2.75,63.38763276949821,59.767483026290826,13.115956277300484,0.1976523332841154
2.8000000000000003,63.90488808332911,59.87899378034625,10.582772943917972,0.21233204472848335
2.85,64.49627209287702,59.99833012702695,12.06608818777763,0.1991176915382482
2.9000000000000004,65.0368356453478,60.12726323359679,11.114543629489415,0.23414141996421314
2.95,65.5541748007714,60.344431719857916,11.22144292253654,0.397440728305445
3.0,66.08215383794399,60.67901993997581,12.5013781757909,0.5648417286861259
3.0500000000000003,66.5009795679562,61.14466704123427,12.525848714249248,0.8382858346451181
3.1,66.88819677886173,61.66709877764741,13.005723165331863,0.9329624043676967
3.1500000000000004,67.34175373060897,62.198398837926206,13.971308636351926,0.8641732839361094
3.2,67.70770722789918,62.52096786252428,9.756489897685288,0.7224703868032678
3.25,68.14903663149315,62.696531831223766,9.499354706128706,0.37861451484856534
3.3000000000000003,68.67862047945191,62.84323802107898,10.990573381960616,0.2702447469892799
3.35,69.19285096282084,62.981596587028385,10.650372440387624,0.2628349751879519
3.4000000000000004,69.87994363516404,63.25733745478613,14.80715187386822,0.3816398244152367
3.45,70.4706312925233,63.5352473871403,13.05596934827388,0.4397584074054716
3.5,70.92902954061536,63.808857111760794,10.67691407216129,0.5381237980877873
3.5500000000000003,71.27487560778691,64.02528307258848,8.15964947036849,0.5591650228105478
3.6,71.6246161974529,64.18868892984229,7.720620551348377,0.4370815813685621
3.6500000000000004,71.879303116187,64.25453640203428,5.261228608161861,0.25300265556078166
3.7,72.15051077693751,64.27408604044722,5.438227049759466,0.0719591888190882
3.75,72.48166961232585,64.30694208933826,6.655695131373871,0.09889173840851669
3.8000000000000003,72.88823588250314,64.28807877710823,8.140072643267336,-0.04636339929009226
3.85,73.24901936054066,64.22933095174753,7.310705164605148,-0.161417317481312
3.9000000000000004,73.67522228540186,64.23558103856736,8.524974996925312,0.014663528770501357
3.95,74.15436089321848,64.30175190497816,9.673725012879093,0.13723571844598487
4.0,74.62749194745119,64.40461131948058,9.683657441920198,0.21407044658178037
4.05,74.97286935065102,64.52189307233536,7.294945104488086,0.3273580706766771
4.1000000000000005,75.47290538026967,64.69568424821718,10.587528582840484,0.3344970457025188
4.15,75.91403576099597,64.91422422393882,9.84592776305322,0.45996809565482044
4.2,76.38280946745233,65.20366138802952,11.01857812644996,0.5531406106740203
4.25,76.66789119394319,65.3524320455707,6.431307777559547,0.48097651469170827
4.3,77.07078333327068,65.58701479915602,9.32418670365532,0.5272635629082792
4.3500000000000005,77.43988095740345,65.84526348399193,9.009449247538294,0.6105083644392966
4.4,77.72169088366185,66.11193004715078,7.7595847941683855,0.7577953085840468
4.45,77.96815019542886,66.4768118019354,8.806381489156026,0.9767377098373817
4.5,78.1566460479651,66.8146516585442,7.7373498082178065,1.0618742440732762
4.55,78.38975536562954,67.20451454410708,9.08477899613198,1.0319029159872748
4.6000000000000005,78.62002699677396,67.60865478803144,9.302781538209913,1.0528927380173072
4.65,78.74987236340861,67.94995736242801,7.303348999635887,1.2072643411976332
4.7,78.91590779794399,68.29965894627001,7.742324283132677,1.1275178997438624
4.75,79.11957802853581,68.65603431940734,8.209384128132736,1.0515927619989986
4.800000000000001,79.22402670147227,68.87311012135122,4.817942675780295,1.1223321997402098
4.8500000000000005,79.31665817783463,69.06910135662146,4.335580916824237,1.129282893978068
4.9,79.43616314016772,69.35844534326483,6.261034375529848,1.1791161223163236
4.95,79.53519079807305,69.73340657940061,7.756349802186337,1.312590742357163
5.0,79.59631560622074,70.01736044455973,5.809166539526807,1.3587686412995164
5.050000000000001,79.65926624436254,70.19737936937065,3.814162877095864,1.23439859270344
5.1000000000000005,79.76304856000331,70.43764876805588,5.234506776548351,1.1630609196696984
5.15,79.86575853509241,70.75453709056261,6.662358378950567,1.2573601864431465
5.2,79.93444306980903,71.03508015529705,5.776572564413239,1.330692204352994
5.25,79.96751641974379,71.18017459250969,2.976322710054238,1.346681885685562
5.300000000000001,80.00766249025365,71.29787503196702,2.4871751386526637,1.2420839261947538
5.3500000000000005,80.04197379166817,71.39360823684117,2.0339234912096957,1.2266530777353921
5.4,80.05028866618538,71.44340414455593,1.0097068016752433,1.405343701715993
5.45,80.07221727189382,71.52182940359563,1.6286663260178806,1.2981478995266031
5.5,80.15567431030249,71.67487070567522,3.4863572623677825,1.0715505071975653
5.550000000000001,80.25343854113085,71.86340745850505,4.247538204517259,1.0924253648080173
5.6000000000000005,80.34891866889754,72.06713590059508,4.499854793869293,1.1325305135837083
5.65,80.46552989111778,72.24178117288734,4.1999594417916075,0.9820764069202279
5.7,80.59502823632454,72.42419277004612,4.4740948666429805,0.9534410583400841
5.75,80.73209317750148,72.56211100816303,3.8888681389379705,0.788501241205105
5.800000000000001,80.9246027216843,72.73150722278065,5.1285476356664965,0.721619180371811
5.8500000000000005,81.08104447456896,72.83458069961928,3.746900781885187,0.5825796723323657
5.9,81.31419938751769,73.05669104022427,6.440317285220941,0.7611432782860121
5.95,81.49824263592167,73.25488711072875,5.409384425108352,0.8224073333192301
6.0,81.71382072121575,73.45899616093506,5.937488197384021,0.7580773799290569
6.050000000000001,81.99323531236197,73.6052140693715,6.307208272855363,0.4821140997302237
6.1000000000000005,82.22200553895466,73.68661136580197,4.856391106220996,0.3418357812501396
6.15,82.40859654788719,73.74796884569686,3.9284065448226495,0.31769576169558766
6.2,82.60007914318078,73.763482651602,3.842200540004475,0.08084282541558872
6.25,82.77154848230181,73.72861251296766,3.499580593555734,-0.2006249811333161
6.300000000000001,83.04136002414835,73.6238624369036,5.788638753594332,-0.3703225045488909
6.3500000000000005,83.23099772170964,73.49535751604283,4.581526864344597,-0.5955568783010848
6.4,83.37822406389826,73.41496855125973,3.3548759436463684,-0.49978470298562655
6.45,83.56681467730883,73.3275289282403,4.157504402420015,-0.4341452974212751
6.5,83.84695346347664,73.24807144924506,5.823786757217444,-0.2763772851310596
6.550000000000001,84.10776991209917,73.16128100321993,5.497555871232623,-0.3212384856759029
6.6000000000000005,84.39656697986784,73.09199224812848,5.939854474106218,-0.23547117840620058
6.65,84.59733336056077,73.07591126678369,4.028187561549339,-0.07992734087650394
