cell_type,n_units,total_ground_truth_spikes,total_sorted_spikes,mean_rate_hz,median_rate_hz,std_rate_hz
CA1_pyr,80,105688,87016,2.2018333333333335,2.2708333333333335,0.5318728420520431
CA2_pyr,40,126433,83501,5.268041666666666,5.4475,0.5910342578445592
CA3_pyr,40,108053,73712,4.502208333333333,4.383333333333333,0.9475988839920718
DG_granule,40,95442,55817,3.97675,4.0458333333333325,0.6847133188859619
