cell_type,ground_truth_spike_count,sorted_spike_count,apparent_sorting_loss
CA1_pyr,105688,87016,0.17667095602149718
CA2_pyr,126433,83501,0.33956324693711293
CA3_pyr,108053,73712,0.3178162568369226
DG_granule,95442,55817,0.41517361329393765
