time,event_type,decoded_spatial_context,spatial_context_confidence,decoded_movement_state,movement_state_confidence,true_spatial_context,true_movement_state,correct_trigger
459.27500000000043,context_wall,corner,0.824160487251246,fast,0.48824881112231056,corner,slow,True
459.3750000000004,context_wall,corner,0.804312432502511,slow,0.574936115584878,corner,slow,True
459.40000000000043,context_wall,corner,0.8412861796469869,slow,0.6401729654794351,corner,slow,True
459.52500000000043,context_wall,corner,0.828091460552754,slow,0.6743938499301216,corner,slow,True
459.5500000000004,context_wall,corner,0.818552318793911,slow,0.6729867158999044,corner,slow,True
459.6750000000004,context_wall,corner,0.8400559568228653,slow,0.5619915961599204,corner,slow,True
484.27500000000043,context_wall,corner,0.8449712215728157,fast,0.6261926088913916,corner,fast,True
495.95000000000044,context_wall,corner,0.8183945097966229,slow,0.6985396638240248,corner,slow,True
496.00000000000045,context_wall,corner,0.8022102258167378,slow,0.6162699574880722,corner,slow,True
496.82500000000044,context_wall,corner,0.8502367635403467,fast,0.4848306022216984,corner,slow,True
496.8500000000004,context_wall,corner,0.8064872411612227,fast,0.4573700965691435,corner,slow,True
512.8750000000005,context_wall,wall,0.8039165274438522,slow,0.534615924585998,wall,slow,True
531.1750000000005,context_wall,corner,0.8310966954364606,slow,0.5628160604758273,corner,slow,True
531.2000000000005,context_wall,corner,0.8329669711535027,slow,0.5088747075221965,corner,slow,True
531.2250000000005,context_wall,corner,0.8194903888847349,slow,0.5672258759322153,corner,slow,True
531.3500000000005,context_wall,corner,0.807211084413743,slow,0.5321784056475051,corner,slow,True
531.5750000000005,context_wall,corner,0.8099602288754639,slow,0.6489846119037779,corner,fast,True
531.6250000000005,context_wall,corner,0.8008616864527007,slow,0.6040902178035864,corner,fast,True
531.6750000000005,context_wall,corner,0.808451109321224,slow,0.5434473458989404,corner,fast,True
531.7000000000005,context_wall,corner,0.8282609431762289,slow,0.5479628451210096,corner,fast,True
540.8750000000005,context_wall,corner,0.8077086177105203,fast,0.5109936732354264,corner,fast,True
541.1500000000004,context_wall,corner,0.8023080436078215,fast,0.7293817316668643,corner,fast,True
546.7500000000005,context_wall,wall,0.8165180162722685,fast,0.686747497914242,wall,fast,True
559.4000000000005,context_wall,wall,0.8316493083669282,fast,0.5150644282307669,wall,slow,True
559.4250000000005,context_wall,wall,0.8160130541937444,slow,0.5580628261930671,wall,slow,True
559.4500000000005,context_wall,wall,0.8437750794957972,slow,0.5652554722118441,wall,slow,True
559.4750000000005,context_wall,wall,0.842853726442699,slow,0.623015267783299,wall,slow,True
559.5000000000005,context_wall,wall,0.8450865464962086,slow,0.6473436360366442,wall,slow,True
559.5500000000005,context_wall,wall,0.8025313261322795,slow,0.5552035773059459,wall,slow,True
560.6250000000005,context_wall,wall,0.8040541164552346,slow,0.5525989506516964,wall,slow,True
560.9750000000005,context_wall,wall,0.8464727860159403,slow,0.6170320098578073,wall,slow,True
561.0000000000005,context_wall,wall,0.8424714180567828,slow,0.614232473319357,wall,slow,True
561.4750000000005,context_wall,wall,0.8051408683267229,slow,0.5795092293464615,wall,slow,True
590.1750000000005,context_wall,wall,0.8680854700031067,fast,0.49946497067338247,wall,fast,True
590.2000000000005,context_wall,wall,0.8656931603696253,fast,0.500035874141901,wall,fast,True
590.2250000000005,context_wall,wall,0.8799962860647661,slow,0.5184075192884251,wall,slow,True
590.2500000000006,context_wall,wall,0.8271306566286587,fast,0.5714261733806083,wall,slow,True
592.3500000000005,context_wall,wall,0.8594361173931456,fast,0.6629576258382354,wall,fast,True
592.3750000000006,context_wall,wall,0.8346172034756683,fast,0.6845696207983245,wall,fast,True
592.8500000000005,context_wall,wall,0.8759684364792294,fast,0.626701277642588,wall,fast,True
592.8750000000006,context_wall,wall,0.8739008336541196,fast,0.6284495410444907,wall,fast,True
592.9000000000005,context_wall,wall,0.8881606284828731,fast,0.6701450892069002,wall,fast,True
592.9250000000005,context_wall,wall,0.8795820362854834,fast,0.6942821465112848,wall,fast,True
592.9500000000005,context_wall,wall,0.8799294400118689,fast,0.6282984264876862,wall,fast,True
592.9750000000005,context_wall,wall,0.8376290462939247,fast,0.676802992633834,wall,fast,True
593.0000000000006,context_wall,wall,0.861169459637535,fast,0.6619435398261259,wall,fast,True
593.0500000000005,context_wall,wall,0.8036610396140739,fast,0.5209662071690552,wall,fast,True
596.8250000000005,context_wall,wall,0.8009293627352355,slow,0.6351044744583281,wall,slow,True
597.6000000000005,context_wall,wall,0.8038679816903452,fast,0.4851913814353573,wall,fast,True
597.7500000000006,context_wall,wall,0.8219533436885105,fast,0.4898011766810733,wall,fast,True
597.7750000000005,context_wall,wall,0.8420393575714342,fast,0.563899220967594,wall,slow,True
598.3750000000006,context_wall,wall,0.8278676434367478,fast,0.48896233010832263,wall,fast,True
598.4250000000005,context_wall,wall,0.8084336039260502,fast,0.5177032820901969,wall,slow,True
598.9250000000005,context_wall,wall,0.8149083915142947,slow,0.6168777568916487,wall,slow,True
598.9500000000005,context_wall,wall,0.8008664092571972,slow,0.6252544143386451,wall,slow,True
599.0750000000005,context_wall,wall,0.8422970647224247,slow,0.5272647334293906,wall,slow,True
599.1000000000005,context_wall,wall,0.8636284246064746,slow,0.5738628040740138,wall,slow,True
599.1250000000006,context_wall,wall,0.8474459415405817,slow,0.465830962263656,wall,slow,True
599.1750000000005,context_wall,wall,0.8236449806958953,slow,0.5007219261993664,wall,fast,True
599.2000000000005,context_wall,wall,0.8658756011388187,slow,0.5218494219831779,wall,fast,True
