unit_id,cell_type,region,layer,channel,depth_um,place_x_cm,place_y_cm,hd_pref_rad,rate_model,ratinabox_class,subfield,cell_class,deep_superficial_coordinate,deep_superficial_group,proximodistal_coordinate,dorsoventral_coordinate,baseline_rate_hz,burst_index,waveform_width_ms,theta_modulation_strength,ripple_participation_probability,spatial_tuning_strength,head_direction_tuning_strength,speed_tuning_strength,boundary_tuning_strength,proximodistal_group,dorsoventral_group,projection_target,metadata_schema_version
26,CA1_pyr,CA1,pyramidal,14,260.0,32.42063996504325,43.618357242200325,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
27,CA1_pyr,CA1,pyramidal,24,460.0,41.95359904898,44.06348067095284,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
28,CA1_pyr,CA1,pyramidal,4,60.0,57.084725095418754,43.05335906364109,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
29,CA1_pyr,CA1,pyramidal,10,180.0,64.35641782267845,46.30971816602034,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
30,CA1_pyr,CA1,pyramidal,4,60.0,86.35572419090174,39.2357730513097,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
31,CA1_pyr,CA1,pyramidal,14,260.0,96.06009854299568,48.01146248771676,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
32,CA1_pyr,CA1,pyramidal,30,580.0,0.761554982878121,52.31526356328239,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
33,CA1_pyr,CA1,pyramidal,5,80.0,22.72416127127753,56.78002190347837,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
34,CA1_pyr,CA1,pyramidal,12,220.0,30.52573435726088,55.83833057108346,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
35,CA1_pyr,CA1,pyramidal,13,240.0,39.96745248562357,51.763006947387055,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
36,CA1_pyr,CA1,pyramidal,28,540.0,52.31929356031005,56.53510746121194,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
37,CA1_pyr,CA1,pyramidal,7,120.0,67.55736898807498,57.87522593405322,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
38,CA1_pyr,CA1,pyramidal,16,300.0,81.41672743337732,54.18382443087327,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
39,CA1_pyr,CA1,pyramidal,8,140.0,93.07569615678712,55.1699131669533,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
40,CA1_pyr,CA1,pyramidal,1,0.0,5.876025614327088,66.97008896277778,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
