time,x,y,speed,acceleration,head_direction,head_direction_sin,head_direction_cos,distance_to_wall,spatial_context,movement_state,wall_distance_bin
0.25,48.7908908706474,49.348968615193535,4.040648578841893,0.0,-2.546399255312992,-0.5606689065080322,-0.8280400819254389,48.7908908706474,center,slow,center
0.3,48.62289906227368,49.19604609815678,4.54341474653282,10.055323353818546,-2.403117387909904,-0.6731611599115167,-0.739495809850591,48.62289906227368,center,slow,center
0.35,48.46165393504235,49.02739140433472,4.666664624935405,2.464997568051697,-2.3337382153878323,-0.7228061469036372,-0.6910508476214451,48.46165393504235,center,slow,center
0.4,48.31931320983017,48.93896754799332,3.351397345837441,-26.30534558195925,-2.585721476933092,-0.5276835135722572,-0.8494410571099312,48.31931320983017,center,slow,center
0.45,48.24075668290331,48.90304714795382,1.7275882682870256,-32.47618155100831,-2.712721499947856,-0.41584445436303435,-0.909435753517262,48.24075668290331,center,still,center
0.5,48.18274490230799,48.88781654919783,1.1995562223265028,-10.560640919210458,-2.884843904558082,-0.25393722232457666,-0.9672207023829041,48.18274490230799,center,still,center
0.55,48.11010188710391,48.86472369374291,1.5245048548301194,6.498972650072327,-2.8338002927089576,-0.30295548593047755,-0.9530047080390674,48.11010188710391,center,still,center
0.6000000000000001,48.048139492505776,48.85915836506322,1.2442365092936192,-5.60536691073,-3.052015174923305,-0.08945772991091348,-0.995990619714456,48.048139492505776,center,still,center
0.65,48.00239366740922,48.85987667984642,0.9150292869394664,-6.584144447083064,3.125891641443621,0.015700367047207092,-0.99987674164098,48.00239366740922,center,still,center
0.7000000000000001,47.93500881396336,48.85638210030045,1.3495081415274948,8.68957709176056,-3.089779055017429,-0.05179041812991086,-0.9986579757804616,47.93500881396336,center,still,center
0.75,47.77019797349518,48.83134942810285,3.334021464429036,39.69026645803088,-2.990857456928197,-0.1501650332169842,-0.9886609443074719,47.77019797349518,center,slow,center
0.8,47.3548369535853,48.81364517164404,8.314763197044899,99.61483465231717,-3.098994658919024,-0.04258511286309415,-0.9990928426139573,47.3548369535853,center,slow,center
0.8500000000000001,46.97481177526399,48.765382089004326,7.661552357167166,-13.064216797554634,-3.015269213258388,-0.12598773822791948,-0.992031798792868,46.97481177526399,center,slow,center
0.9,46.65481189309864,48.66869794915584,6.685738477807132,-19.516277587200708,-2.8481755030163165,-0.2892250128222472,-0.9572611409422044,46.65481189309864,center,slow,center
0.95,46.2694874182076,48.52990914449122,8.191148472596105,30.108199895779485,-2.7958716799128,-0.3388750799205778,-0.9408313771387634,46.2694874182076,center,slow,center
1.0,45.87632640017068,48.32748151132093,8.844264418814241,13.062318924362716,-2.666118286584553,-0.45776024683219757,-0.8890756753056095,45.87632640017068,center,slow,center
1.05,45.42949800214014,48.079352896448846,10.222004241925816,27.554796462231483,-2.6346812335447085,-0.4854793815373016,-0.874248117013791,45.42949800214014,center,fast,center
1.1,45.00813905536448,47.88180918244041,9.30734937502924,-18.29309733793151,-2.703194400491776,-0.4244897361184746,-0.9054327495347557,45.00813905536448,center,slow,center
1.15,44.63368886464527,47.69633356916515,8.357371559276125,-18.999556315062375,-2.6816897339148045,-0.44386111580595516,-0.8960955919295064,44.63368886464527,center,slow,center
1.2000000000000002,44.24225445153156,47.38318123265643,10.025672758085426,33.36602397618584,-2.46684422484748,-0.6247008935259094,-0.780864132629954,44.24225445153156,center,fast,center
1.25,43.91070934460621,47.01086596031338,9.970773690060934,-1.0979813604898365,-2.2983354864496937,-0.7468132041030826,-0.6650338624290401,43.91070934460621,center,slow,center
1.3,43.6022609813902,46.692603923329976,8.864110038925775,-22.133273022703165,-2.340536744985875,-0.7180913494660955,-0.6959488586253748,43.6022609813902,center,slow,center
1.35,43.36588760019517,46.48947262771229,6.23328801185657,-52.61644054138405,-2.4316860938943154,-0.6517629066113994,-0.7584227802258185,43.36588760019517,center,slow,center
1.4,43.17741939265915,46.301752510128345,5.320116833212441,-18.263423572882644,-2.358183092485437,-0.7056992298065615,-0.708511536286055,43.17741939265915,center,slow,center
1.4500000000000002,43.0127144494822,46.06724309062702,5.731400741241792,8.225678160586982,-2.183089885702704,-0.8183319578889408,-0.5747458627059902,43.0127144494822,center,slow,center
1.5,42.75124048293165,45.66394965254182,9.612787990718656,77.62774498953756,-2.1460084141275857,-0.8390769430774694,-0.5440127605082156,42.75124048293165,center,slow,center
1.55,42.46965972147257,45.272864989997096,9.638152073952746,0.5072816646817908,-2.1948190504257488,-0.8115345338898189,-0.5843044585695324,42.46965972147257,center,slow,center
1.6,42.28972661798579,44.80421831392692,10.040032444609013,8.037607413125329,-1.9373833482387344,-0.9335560988586546,-0.3584313187820086,42.28972661798579,center,fast,center
1.65,42.15870739351043,44.34957273370565,9.462951776202976,-11.541613368120776,-1.851373026408347,-0.9608959043088244,-0.2769098428776529,42.15870739351043,center,slow,center
1.7000000000000002,42.13661996428746,43.91162888639313,8.77000953086311,-13.858844906797248,-1.6211880162584156,-0.998730607467019,-0.050370365380440915,42.13661996428746,center,slow,center
1.75,42.13090243718748,43.42732304147479,9.686791863939376,18.335646661525395,-1.5826013908059826,-0.9999303210410551,-0.011804789821622103,42.13090243718748,center,slow,center
1.8,42.18238209470263,43.084735456694325,6.92867688331888,-55.16229961240989,-1.421645125102164,-0.988897564570421,0.14859881152516025,42.18238209470263,center,slow,center
1.85,42.32609494852569,42.87475353937708,5.089038807248207,-36.79276152141341,-0.9706130803302244,-0.8252321323161216,0.564793703747649,42.32609494852569,center,slow,center
1.9,42.451588569011385,42.73728263701872,3.7227354339424665,-27.326067466114914,-0.8309138458153291,-0.7385477952848782,0.6742011228705019,42.451588569011385,center,slow,center
1.95,42.72292819365098,42.52821728952079,6.850795907746388,62.561209476078375,-0.6564882954781133,-0.6103388578881336,0.7921404411793458,42.52821728952079,center,slow,center
2.0,42.90002819867858,42.39609257983995,4.419110801463264,-48.633702125662445,-0.6409655947618893,-0.5979696622998811,0.8015187352576146,42.39609257983995,center,slow,center
2.0500000000000003,43.08704061410768,42.25732592528608,4.657459734262796,4.7669786559906155,-0.6383732884118738,-0.5958898733273987,0.8030661609517965,42.25732592528608,center,slow,center
2.1,43.24764987760555,42.140554854769626,3.971438954882087,-13.720415587614218,-0.628651024987835,-0.5880542133118326,0.8088215144308426,42.140554854769626,center,slow,center
2.15,43.50095825763192,41.98403931203097,5.955241406034134,39.67604902304108,-0.5534668119885323,-0.5256396242142559,0.8507073441882912,41.98403931203097,center,slow,center
2.2,43.7101239112313,41.86303010638553,4.832949347824642,-22.445841164189723,-0.5244852711672857,-0.5007675311139431,0.865581815764429,41.86303010638553,center,slow,center
2.25,43.97189085157981,41.66565768180565,6.556761549544393,34.47624403439514,-0.6460565665762062,-0.6020424048929842,0.7984641148546828,41.66565768180565,center,slow,center
2.3000000000000003,44.191163541227866,41.469517848973744,5.88392204057208,-13.456790179446187,-0.7297691478388916,-0.6666975921143934,0.7453283307837358,41.469517848973744,center,slow,center
2.35,44.45687552681542,41.07649987432489,9.488224021005529,72.08603960866922,-0.9763043955079996,-0.8284331689023551,0.5600879258316519,41.07649987432489,center,slow,center
2.4000000000000004,44.63619584610098,40.71371557639687,8.093657361954607,-27.891333181018283,-1.1117278769871632,-0.8964656686193408,0.443113196583986,40.71371557639687,center,slow,center
2.45,44.74965375500458,40.24964877190436,9.554699286208036,29.220838485068686,-1.331013859127108,-0.9713896598763115,0.23749132338968446,40.24964877190436,center,slow,center
2.5,44.77585414582227,39.8397082737192,8.215538266755091,-26.783220389058993,-1.5069704705837943,-0.9979638214187766,0.06378253004727939,39.8397082737192,center,slow,center
2.5500000000000003,44.84790553391076,39.30822902224744,10.726818676018878,50.22560818527546,-1.4360501604488498,-0.9909354628319695,0.1343387825685132,39.30822902224744,center,fast,center
2.6,44.88973551422188,38.78349734344273,10.527926329416053,-3.977846932056522,-1.4912476517367923,-0.9968376722746443,0.07946480437318737,38.78349734344273,center,fast,center
2.6500000000000004,44.96038120857708,38.33439280665479,9.092539779279456,-28.707731002731787,-1.4147714036513976,-0.9878527841283516,0.15539265391216012,38.33439280665479,center,slow,center
2.7,45.0846880679434,37.79448222051194,11.080715433845056,39.76351309131214,-1.3445037975688714,-0.9745049213947661,0.22436612528940478,37.79448222051194,center,fast,center
2.75,45.24686593333035,37.12500152839914,13.77688001157447,53.923291554588474,-1.3331303835409287,-0.9718901399305834,0.2354348230523918,37.12500152839914,center,fast,center
2.8000000000000003,45.44865913622598,36.4362344580499,14.35438015286403,11.550002825791141,-1.2857946484913862,-0.959661180788512,0.2811590618984185,36.4362344580499,center,fast,center
2.85,45.60442316427012,35.858627480035224,11.964819321390362,-47.79121662947353,-1.3073908781140968,-0.9655089015544951,0.26037004631683786,35.858627480035224,center,fast,center
2.9000000000000004,45.77187650393906,35.365540156778856,10.41490718772676,-30.998242673271875,-1.243414806504167,-0.9468875994160234,0.32156472765550714,35.365540156778856,center,fast,center
2.95,45.92934273052233,34.9273755528688,9.312010151068906,-22.05794073315716,-1.225792488048839,-0.9410741543484177,0.3382002897949832,34.9273755528688,center,slow,center
3.0,46.06567692432184,34.57136023862045,7.624537136858185,-33.74946028421453,-1.2050786578741364,-0.9338673492121352,0.35761959408776806,34.57136023862045,center,slow,center
3.0500000000000003,46.13661300846146,34.22414865200528,7.087674199986491,-10.737258737433827,-1.3692674983899438,-0.9797617012808819,0.20016745165783564,34.22414865200528,center,slow,center
3.1,46.204591018191415,33.9121273908542,6.386807566136702,-14.017332676995832,-1.3562849052122274,-0.977080514545113,0.21287007327536034,33.9121273908542,center,slow,center
