cell_type,ground_truth_spike_count,sorted_spike_count,apparent_sorting_loss
CA1_pyr,606131,365637,0.3967690152788753
CA2_pyr,174454,114308,0.3447671019294485
CA3_pyr,740556,443353,0.40132414024057605
DG_granule,47716,130520,-1.7353508257188364
