cell_type,n_units,total_ground_truth_spikes,total_sorted_spikes,mean_rate_hz,median_rate_hz,std_rate_hz
CA1_pyr,150,606131,365637,6.73478888888889,6.676666666666667,0.7083456189661413
CA2_pyr,60,174454,114308,4.845944444444444,4.759166666666667,0.6188328396992762
CA3_pyr,210,740556,443353,5.877428571428571,5.875,0.6381450735989493
DG_granule,230,47716,130520,0.345768115942029,0.29,0.19601275183499492
