target_name,primary_metric,best_decoder_name,best_decode_window_s,best_feature_type,best_metric_value,recommended_realtime_window_s,spike_source
position,mean_position_error_cm,random_forest_regressor,1.0,counts,8.569970843618119,1.0,sorted
speed,r2,ridge,0.1,counts,0.5267505544417996,0.1,sorted
acceleration,r2,random_forest_regressor,0.1,counts,0.007350547826935561,0.1,sorted
head_direction,mean_circular_error_deg,ridge,0.25,counts,15.44530985091637,0.25,sorted
distance_to_wall,r2,random_forest_regressor,0.5,counts,0.8209025146128974,0.25,sorted
spatial_context,balanced_accuracy,random_forest_classifier,0.5,counts,0.8593753893711059,0.25,sorted
movement_state,balanced_accuracy,logistic_regression,0.1,counts,0.5850877298199473,0.1,sorted
wall_distance_bin,balanced_accuracy,random_forest_classifier,0.5,counts,0.8214796047728813,0.25,sorted
