spike_source,feature_type,decode_window_s,update_dt_s,n_units,target_name,decoder_name,n_train_samples,n_test_samples,mean_position_error_cm,median_position_error_cm,p90_position_error_cm,r2_x,r2_y,r2,correlation,mae,rmse,mean_circular_error_deg,median_circular_error_deg,p90_circular_error_deg,mae_cm,rmse_cm,accuracy,balanced_accuracy,macro_f1,confusion_matrix,class_labels
ground_truth,counts,0.025,0.025,200,position,ridge,16800,7200,21.31056025765145,19.265205530697536,38.79548520507311,0.7083812099994109,0.7380377139143488,,,,,,,,,,,,,,
ground_truth,counts,0.025,0.025,200,position,random_forest_regressor,16800,7200,26.296768026152552,23.45851584353902,46.98149448316831,0.5182952138559229,0.615231335061821,,,,,,,,,,,,,,
ground_truth,counts,0.025,0.025,200,speed,ridge,16800,7200,,,,,,0.47641286955329376,0.6924981610865693,3.0125768770628807,3.7584118290297273,,,,,,,,,,
ground_truth,counts,0.025,0.025,200,speed,random_forest_regressor,16800,7200,,,,,,0.3518651964155479,0.6256803884435771,3.3333514291269477,4.181600664670972,,,,,,,,,,
ground_truth,counts,0.025,0.025,200,acceleration,ridge,16800,7200,,,,,,-0.0033965752938527327,0.07016881706108816,34.732053284638,56.82828440560985,,,,,,,,,,
ground_truth,counts,0.025,0.025,200,acceleration,random_forest_regressor,16800,7200,,,,,,0.0007980204951256731,0.04683142830348723,32.78141673105189,56.70937761816949,,,,,,,,,,
ground_truth,counts,0.025,0.025,200,head_direction,ridge,16800,7200,,,,,,,,,,23.48081717314522,18.075558955373424,49.07326705930574,,,,,,,
ground_truth,counts,0.025,0.025,200,head_direction,random_forest_regressor,16800,7200,,,,,,,,,,31.33797680792497,23.43387230825668,66.91475020550376,,,,,,,
ground_truth,counts,0.025,0.025,200,distance_to_wall,ridge,16800,7200,,,,,,0.509157395396852,0.7327554442570617,,,,,,5.477642503118737,6.902688603100506,,,,,
ground_truth,counts,0.025,0.025,200,distance_to_wall,random_forest_regressor,16800,7200,,,,,,0.46360208643747813,0.6948972625153526,,,,,,5.275989400665296,7.215903152274469,,,,,
ground_truth,counts,0.025,0.025,200,spatial_context,logistic_regression,16800,7200,,,,,,,,,,,,,,,0.6865277777777777,0.6964228152762896,0.6834741631589493,"[[1070, 48, 216], [181, 2619, 905], [266, 641, 1254]]","['center', 'corner', 'wall']"
ground_truth,counts,0.025,0.025,200,spatial_context,random_forest_classifier,16800,7200,,,,,,,,,,,,,,,0.6543055555555556,0.6636815070492932,0.6400030367891771,"[[1081, 59, 194], [324, 2588, 793], [384, 735, 1042]]","['center', 'corner', 'wall']"
ground_truth,counts,0.025,0.025,200,movement_state,logistic_regression,16800,7200,,,,,,,,,,,,,,,0.5894444444444444,0.6237665123073123,0.50730040975405,"[[2143, 798, 100], [1005, 1900, 956], [2, 95, 201]]","['fast', 'slow', 'still']"
ground_truth,counts,0.025,0.025,200,movement_state,random_forest_classifier,16800,7200,,,,,,,,,,,,,,,0.5258333333333334,0.6377920140454836,0.44720601777652486,"[[2493, 353, 195], [1481, 1048, 1332], [8, 45, 245]]","['fast', 'slow', 'still']"
ground_truth,counts,0.025,0.025,200,wall_distance_bin,logistic_regression,16800,7200,,,,,,,,,,,,,,,0.7484722222222222,0.7502499512717969,0.6802958881193444,"[[324, 64, 2], [266, 1144, 381], [39, 1059, 3921]]","['center', 'middle', 'near_wall']"
ground_truth,counts,0.025,0.025,200,wall_distance_bin,random_forest_classifier,16800,7200,,,,,,,,,,,,,,,0.7329166666666667,0.7342752122529671,0.6238675803138863,"[[373, 16, 1], [458, 750, 583], [87, 778, 4154]]","['center', 'middle', 'near_wall']"
ground_truth,counts,0.05,0.025,200,position,ridge,16799,7200,16.710353013086355,14.809170535086812,30.70164191685885,0.8173963001961693,0.8332043234800437,,,,,,,,,,,,,,
ground_truth,counts,0.05,0.025,200,position,random_forest_regressor,16799,7200,15.75624630109669,12.66696558920994,31.37819552546133,0.7905068462584179,0.8588177531401685,,,,,,,,,,,,,,
ground_truth,counts,0.05,0.025,200,speed,ridge,16799,7200,,,,,,0.5705055261175852,0.7567710989116666,2.7047019065035163,3.398147099102999,,,,,,,,,,
ground_truth,counts,0.05,0.025,200,speed,random_forest_regressor,16799,7200,,,,,,0.46464672811457886,0.7058663218393579,3.012099642875118,3.793880219107512,,,,,,,,,,
ground_truth,counts,0.05,0.025,200,acceleration,ridge,16799,7200,,,,,,0.004739090620304198,0.10095713959669451,34.94372592195389,56.597430057502024,,,,,,,,,,
ground_truth,counts,0.05,0.025,200,acceleration,random_forest_regressor,16799,7200,,,,,,0.003993098940243911,0.07304434920130146,33.34158859386149,56.61863721174632,,,,,,,,,,
ground_truth,counts,0.05,0.025,200,head_direction,ridge,16799,7200,,,,,,,,,,16.874044839170264,13.609674609288934,35.03724788744791,,,,,,,
ground_truth,counts,0.05,0.025,200,head_direction,random_forest_regressor,16799,7200,,,,,,,,,,21.454079797895677,16.948435536498238,44.91253053576653,,,,,,,
ground_truth,counts,0.05,0.025,200,distance_to_wall,ridge,16799,7200,,,,,,0.660277892232387,0.8214290185445471,,,,,,4.493116908381753,5.742427680768081,,,,,
ground_truth,counts,0.05,0.025,200,distance_to_wall,random_forest_regressor,16799,7200,,,,,,0.6726976138297984,0.8240628099270151,,,,,,4.01611014933501,5.636483178624249,,,,,
ground_truth,counts,0.05,0.025,200,spatial_context,logistic_regression,16799,7200,,,,,,,,,,,,,,,0.7697222222222222,0.7797836510736126,0.7695330858875454,"[[1151, 20, 163], [136, 2883, 691], [153, 495, 1508]]","['center', 'corner', 'wall']"
ground_truth,counts,0.05,0.025,200,spatial_context,random_forest_classifier,16799,7200,,,,,,,,,,,,,,,0.7738888888888888,0.7758917168642899,0.7678580461215733,"[[1124, 28, 182], [152, 2975, 583], [164, 519, 1473]]","['center', 'corner', 'wall']"
ground_truth,counts,0.05,0.025,200,movement_state,logistic_regression,16799,7200,,,,,,,,,,,,,,,0.6541666666666667,0.6550377829996552,0.562685676392573,"[[2271, 733, 32], [933, 2251, 684], [0, 108, 188]]","['fast', 'slow', 'still']"
ground_truth,counts,0.05,0.025,200,movement_state,random_forest_classifier,16799,7200,,,,,,,,,,,,,,,0.6145833333333334,0.679067355161056,0.5348675201813354,"[[2479, 507, 50], [1279, 1716, 873], [2, 64, 230]]","['fast', 'slow', 'still']"
